Neurons Pruned,Accuracy,ASR
0.0,98.62042088854248,100.0
1.0,98.62042088854248,100.0
2.0,98.62042088854248,100.0
3.0,98.62042088854248,100.0
4.0,98.62042088854248,100.0
5.0,98.62042088854248,100.0
6.0,98.62042088854248,100.0
7.0,98.62042088854248,100.0
8.0,98.62042088854248,100.0
9.0,98.62042088854248,100.0
10.0,98.62042088854248,100.0
11.0,98.62042088854248,100.0
12.0,98.62042088854248,100.0
13.0,98.62042088854248,100.0
14.0,98.62042088854248,100.0
15.0,98.62042088854248,100.0
16.0,98.62042088854248,100.0
17.0,98.62042088854248,100.0
18.0,98.62042088854248,100.0
19.0,98.62042088854248,100.0
20.0,98.62042088854248,100.0
21.0,98.62042088854248,100.0
22.0,98.62042088854248,100.0
23.0,98.62042088854248,100.0
24.0,98.62042088854248,100.0
25.0,98.62042088854248,100.0
26.0,98.62042088854248,100.0
27.0,98.62042088854248,100.0
28.0,98.62042088854248,100.0
29.0,98.62042088854248,100.0
30.0,98.62042088854248,100.0
31.0,98.62042088854248,100.0
32.0,98.62042088854248,100.0
33.0,98.62042088854248,100.0
34.0,98.61262665627436,100.0
35.0,98.60483242400623,100.0
36.0,98.59703819173812,100.0
37.0,98.59703819173812,100.0
38.0,98.57365549493376,100.0
39.0,98.52689010132501,100.0
40.0,98.44115354637569,100.0
41.0,98.4099766173032,100.0
42.0,98.11379579111458,100.0
43.0,97.74746687451285,100.0
44.0,97.50584567420108,100.0
45.0,95.74434918160561,100.0
46.0,95.34684333593141,99.97661730319564
47.0,94.90257209664848,99.98441153546376
48.0,92.1278254091972,99.98441153546376
49.0,91.58222915042869,99.98441153546376
50.0,91.13016367887764,99.97661730319564
51.0,89.68043647700702,80.6469212782541
52.0,84.3335931410756,77.20966484801247
53.0,76.16523772408418,36.26656274356976
54.0,54.67653936087296,6.96024941543258
55.0,27.069368667186282,0.4208885424785659
56.0,13.702260327357754,0.0
57.0,6.562743569758379,0.0
58.0,1.5198752922837102,0.0
59.0,0.646921278254092,0.0
60.0,0.0701480904130943,0.0
